Zone,Importations ( en milliers de tonnes),Pertes ( en milliers de tonnes),Score stabilité politique,Balance commercial ( en millier de tonnes),P.I.B par habitants ( Valeur en dollars américains en termes nominaux)
Afghanistan,29.0,2.0,-2.8,-29.0,520.6164092832751
Afrique du Sud,514.0,83.0,-0.28,-451.0,6121.8765721782775
Albanie,38.0,0.0,0.38,-38.0,4514.204908242201
Algérie,2.0,13.0,-0.92,-2.0,4109.696001460671
Allemagne,842.0,0.0,0.59,-196.0,44651.82910208204
Angola,277.0,2.0,-0.38,-277.0,4095.811686217077
Antigua-et-Barbuda,7.0,0.0,0.75,-7.0,15383.415190828495
Arabie saoudite,722.0,0.0,-0.64,-712.0,20802.464927773868
Argentine,8.0,106.0,0.17,199.0,14648.845969287031
Arménie,35.0,0.0,-0.62,-35.0,3914.52524576447
Australie,16.0,0.0,0.9,26.0,57628.86384865823
Autriche,110.0,0.0,1.05,-32.0,47309.0516373143
Azerbaïdjan,27.0,0.0,-0.75,-27.0,4150.868844080233
Bahamas,24.0,0.0,0.99,-24.0,32376.129779570667
Bangladesh,0.0,10.0,-1.26,0.0,1538.2336269026032
Barbade,2.0,0.0,0.97,-2.0,17419.313703569132
Belgique,338.0,0.0,0.43,318.0,44025.90324725204
Belize,0.0,0.0,0.04,0.0,4909.6830552813035
Bolivie (État plurinational de),1.0,27.0,-0.28,0.0,3351.1273993989917
Bosnie-Herzégovine,10.0,0.0,-0.35,-2.0,5394.741460976719
Botswana,3.0,0.0,1.02,-3.0,7893.362919712664
Bulgarie,108.0,0.0,0.33,-63.0,8335.277985718718
Burkina Faso,0.0,2.0,-0.93,0.0,734.9962817626254
Bélarus,21.0,0.0,-0.05,131.0,5790.908054416871
Bénin,123.0,0.0,0.03,-123.0,1136.5933602250268
Cabo Verde,12.0,0.0,0.77,-12.0,3292.6383577241218
Cambodge,10.0,1.0,0.09,-10.0,1385.2604194196051
Cameroun,0.0,4.0,-1.1,0.0,1425.1060720205464
Canada,182.0,0.0,1.1,-19.0,44906.74891992956
Chili,155.0,0.0,0.42,-40.0,14998.813979245431
Chine - RAS de Hong-Kong,907.0,0.0,0.83,-244.0,46705.02781289957
Chine - RAS de Macao,23.0,0.0,1.43,-23.0,81043.96865488247
"Chine, Taiwan Province de",161.0,0.0,0.86,-153.0,48786.5744078049
Chypre,14.0,1.0,0.54,-13.0,19387.26866314367
Colombie,78.0,78.0,-0.77,-76.0,6376.707362336646
Congo,104.0,0.0,-0.53,-104.0,2154.629047517021
Costa Rica,17.0,0.0,0.61,-14.0,12225.57717162624
Croatie,24.0,0.0,0.69,-7.0,13439.243178286993
Cuba,312.0,0.0,0.65,-312.0,8541.21443968007
Côte d'Ivoire,7.0,3.0,-1.09,-7.0,2111.0268089127067
Danemark,133.0,0.0,0.87,6.0,57938.79772774295
Djibouti,3.0,0.0,-0.74,-3.0,2930.696962924439
Dominique,4.0,0.0,1.2,-4.0,7286.797839290213
El Salvador,16.0,0.0,-0.26,-14.0,3910.2531791013516
Espagne,205.0,66.0,0.28,7.0,28137.441564023637
Estonie,21.0,1.0,0.65,-10.0,20406.691806819817
Eswatini,2.0,0.0,-0.27,-2.0,3913.145927516325
Fidji,3.0,0.0,0.62,-3.0,6101.130428886136
Finlande,16.0,0.0,1.08,-4.0,46385.55087581656
France,506.0,0.0,0.28,-5.0,40022.37244086283
Fédération de Russie,226.0,0.0,-0.64,-111.0,10817.003314854175
Gabon,76.0,0.0,-0.1,-76.0,7230.476275436818
Gambie,16.0,0.0,-0.08,-16.0,679.7784726334518
Ghana,151.0,0.0,0.09,-151.0,2074.1754430280207
Grenade,7.0,0.0,1.01,-7.0,10152.832810217003
Grèce,79.0,0.0,-0.07,-50.0,18907.740557928748
Guatemala,129.0,12.0,-0.65,-122.0,4236.1149056131935
Guinée,37.0,1.0,-0.7,-37.0,855.5750570601961
Guinée-Bissau,4.0,0.0,-0.5,-4.0,738.5502856720884
Guyana,0.0,0.0,-0.04,0.0,6124.922066195232
Géorgie,51.0,0.0,-0.37,-46.0,4051.8428040300187
Haïti,89.0,0.0,-0.67,-89.0,1387.4388263876838
Honduras,12.0,0.0,-0.56,-11.0,2453.7295733922524
Hongrie,58.0,18.0,0.81,152.0,14711.084219825992
Indonésie,1.0,113.0,-0.5,-1.0,3837.578116691002
Iran (République islamique d'),6.0,0.0,-0.93,39.0,6243.780412416742
Iraq,470.0,5.0,-2.31,-470.0,4985.453727834431
Irlande,99.0,0.0,1.0,-6.0,70568.3024440602
Islande,2.0,0.0,1.35,-2.0,73949.76921466658
Israël,0.0,29.0,-0.89,3.0,43096.0696970638
Italie,97.0,0.0,0.31,86.0,32333.550863396318
Jamaïque,31.0,0.0,0.31,-30.0,5070.097884929308
Japon,1069.0,56.0,1.11,-1059.0,38672.407739920855
Jordanie,64.0,0.0,-0.45,-54.0,4231.464852236031
Kazakhstan,174.0,0.0,0.03,-168.0,9225.974207604539
Kenya,0.0,2.0,-1.13,0.0,1634.068743538329
Kirghizistan,25.0,0.0,-0.38,-25.0,1244.470221090312
Kiribati,1.0,0.0,0.88,-1.0,1648.5726712100773
Koweït,137.0,0.0,-0.05,-133.0,29754.636332101363
Lesotho,15.0,0.0,-0.19,-15.0,1101.8033974107043
Lettonie,43.0,0.0,0.46,-23.0,15623.931571828567
Liban,13.0,0.0,-1.63,-9.0,7819.604670253409
Libéria,48.0,0.0,-0.33,-48.0,587.5940458838006
Lituanie,44.0,0.0,0.78,24.0,16784.45981217496
Luxembourg,11.0,0.0,1.33,-10.0,111017.18224561166
Macédoine du Nord,40.0,0.0,-0.25,-39.0,5430.875558838729
Madagascar,0.0,2.0,-0.3,0.0,515.2933032392938
Malaisie,68.0,82.0,0.12,-24.0,10259.210255664057
Malawi,0.0,7.0,-0.25,0.0,506.13721511634617
Maldives,12.0,0.0,0.23,-12.0,9577.289370308741
Mali,1.0,0.0,-1.91,-1.0,830.0213996217676
Malte,9.0,0.0,1.25,-9.0,30850.173569929648
Maroc,3.0,0.0,-0.37,-2.0,3082.5993044652305
Maurice,2.0,0.0,0.97,-2.0,10485.851087268555
Mauritanie,24.0,0.0,-0.63,-24.0,1587.8633535470524
Mexique,972.0,161.0,-0.8,-963.0,9287.841557324951
Mongolie,10.0,0.0,0.79,-10.0,3669.4092349313664
Monténégro,8.0,0.0,-0.06,-8.0,7738.844300890906
Mozambique,24.0,4.0,-0.93,-24.0,461.4147535528094
Myanmar,3.0,45.0,-1.08,-3.0,1277.7436979327483
Namibie,29.0,0.0,0.63,-17.0,5363.907541434751
Nicaragua,6.0,0.0,-0.05,-6.0,2159.158239525276
Niger,3.0,1.0,-1.27,-3.0,517.7718809434997
Nigéria,0.0,10.0,-2.0,0.0,1968.687237300792
Norvège,2.0,0.0,1.17,-2.0,75220.81444174697
Nouvelle-Calédonie,9.0,0.0,0.28,-9.0,33101.384337001626
Nouvelle-Zélande,1.0,0.0,1.6,22.0,43943.48462814178
Népal,0.0,3.0,-0.61,0.0,1065.5142069276594
Oman,126.0,0.0,0.75,-110.0,15130.543438089915
Ouganda,0.0,3.0,-0.57,0.0,767.1017045911116
Pakistan,2.0,64.0,-2.41,2.0,1455.9917418243147
Panama,20.0,2.0,0.39,-20.0,15146.390070637039
Paraguay,1.0,0.0,0.0,3.0,5678.867540131069
Pays-Bas,608.0,0.0,0.92,810.0,48989.6388157177
Philippines,249.0,62.0,-1.19,-247.0,3123.244296457477
Pologne,55.0,27.0,0.52,970.0,13872.46690662021
Polynésie française,15.0,0.0,0.28,-15.0,21127.52781218535
Portugal,82.0,0.0,1.12,-38.0,21515.021024778376
Pérou,60.0,316.0,-0.26,-59.0,6710.531502913501
Roumanie,146.0,0.0,0.06,-77.0,10771.150493724703
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,779.0,0.0,0.39,-420.0,40448.36586183559
Rwanda,0.0,1.0,0.09,0.0,772.2931702223219
République centrafricaine,4.0,0.0,-2.01,-4.0,450.9006969721431
République de Corée,137.0,0.0,0.39,-131.0,31781.123319688868
République de Moldova,16.0,0.0,-0.32,-16.0,2381.895177802016
République dominicaine,42.0,0.0,0.16,-36.0,7609.365033961426
République populaire démocratique de Corée,0.0,1.0,-0.5,0.0,682.8487781964682
République-Unie de Tanzanie,2.0,5.0,-0.56,-2.0,1001.1609186690189
Saint-Kitts-et-Nevis,4.0,0.0,0.65,-4.0,19155.431722547793
Saint-Vincent-et-les Grenadines,9.0,0.0,0.89,-9.0,7212.9601828330005
Sainte-Lucie,10.0,0.0,0.99,-10.0,11034.68489229307
Samoa,17.0,0.0,1.18,-17.0,4223.478961054916
Sao Tomé-et-Principe,2.0,0.0,0.19,-2.0,1828.194018030895
Serbie,12.0,0.0,0.09,-5.0,5003.503580785057
Sierra Leone,14.0,1.0,-0.04,-14.0,499.38123981511194
Slovaquie,63.0,0.0,0.91,-28.0,17510.14429009343
Slovénie,20.0,0.0,0.87,9.0,23400.72425740214
Soudan,2.0,3.0,-1.98,-2.0,2990.9948432128795
Sri Lanka,0.0,10.0,-0.07,2.0,4138.0151998065885
Suisse,51.0,0.0,1.26,-47.0,83313.01399180965
Suriname,18.0,0.0,0.13,-13.0,5947.369350530065
Suède,84.0,0.0,0.98,-61.0,54621.34582422672
Sénégal,0.0,4.0,-0.05,0.0,1361.7022143273828
Tadjikistan,38.0,0.0,-0.67,-38.0,848.6684351193004
